银行,月份,日期,金额,用途
招商3118,3,25,55.15,
光大银行,3,18,10,
光大银行,3,18,10,
光大银行,3,18,10,
光大银行,3,18,10,
光大银行,3,18,10,
光大银行,3,18,10,
光大银行,3,24,48.04,
招商2112,1,1,待补充,
中国银行,2,1,待补充,
中信银行,3,12,67.19,
中信银行,3,14,167.42,
中信银行,3,30,39.92,
中信银行,1,1,待补充,
中信银行,2,1,待补充,
光大银行,1,1,待补充,
光大银行,1,2,待补充,
光大银行,2,1,待补充,
光大银行,2,2,待补充,
光大银行,2,3,待补充,
光大银行,2,26,待补充,
宁波银行,1,1,待补充,
宁波银行,2,1,待补充,
宁波银行,3,26,27.82,
宁波银行,3,26,25.87,
宁波银行,3,27,59.05,
广发银行,3,4,10,
广发银行,3,4,10,
广发银行,3,4,10,
招商8027,3,4,10,
招商8027,3,4,10,
招商8027,3,4,10,
招商2112,3,5,1510,
招商2112,3,20,43.17,
宁波银行,3,31,73.12,
